Year,Start-Day,Start-Month,End-Day,End-Month,Parish Name,Total Parish Burials,Parish Plague Burials
1666,5,June,12,June,Alhallows Lesse,0,0
1666,12,June,19,June,Alhallows Lesse,0,0
1666,19,June,26,June,Alhallows Lesse,0,0
1666,26,June,3,July,Alhallows Lesse,0,0
1666,3,July,10,July,Alhallows Lesse,0,0
1666,10,July,17,July,Alhallows Lesse,0,0
1666,17,July,24,July,Alhallows Lesse,0,0
1666,24,July,31,July,Alhallows Lesse,1,0
1666,31,July,7,August,Alhallows Lesse,0,0
1666,7,August,14,August,Alhallows Lesse,1,0
1666,14,August,21,August,Alhallows Lesse,0,0
1666,21,August,28,August,Alhallows Lesse,3,0
1666,28,August,18,September,Alhallows Lesse,0,0
1666,19,December,26,December,Alhallows Lesse,0,0
1666,26,December,2,January,Alhallows Lesse,0,0
1665,3,January,10,January,Alhallows Lumbardstreet,0,0
1665,10,January,17,January,Alhallows Lumbardstreet,2,0
1665,17,January,24,January,Alhallows Lumbardstreet,0,0
1665,24,January,31,January,Alhallows Lumbardstreet,2,0
1665,31,January,7,February,Alhallows Lumbardstreet,0,0
1665,7,February,14,February,Alhallows Lumbardstreet,0,0
1665,14,February,21,February,Alhallows Lumbardstreet,0,0
1665,21,February,28,February,Alhallows Lumbardstreet,2,0
1665,28,February,7,March,Alhallows Lumbardstreet,0,0
